,osmid,y,x,street_count,highway,ref
0,78112,51.526976,-0.1457924,3,,
1,99936,51.5236106,-0.1527906,4,,
2,99937,51.5230177,-0.1520235,3,,
3,101818,51.5351787,-0.1481038,4,,
4,101831,51.5356116,-0.1470438,3,,
5,101833,51.5351235,-0.1588702,4,crossing,
6,101835,51.5362541,-0.1595932,3,,
7,101839,51.5375133,-0.1526662,3,,
8,101842,51.5340544,-0.1626572,3,,
9,101843,51.5349387,-0.1636822,4,traffic_signals,
10,101849,51.5324547,-0.1642465,4,crossing,
11,101851,51.5344972,-0.1644641,3,,
12,101852,51.533708,-0.1654554,3,,
13,101870,51.5296297,-0.1673203,4,,
14,101872,51.529917,-0.1678226,3,,
15,101873,51.5303181,-0.1679116,3,,
16,101877,51.5287502,-0.1636521,3,,
17,101884,51.5301103,-0.1688805,3,,
18,101885,51.5314812,-0.1707395,4,,
19,101887,51.5350037,-0.1750018,3,,
20,101888,51.5359175,-0.1760666,3,crossing,
21,101892,51.5414124,-0.1754092,3,,
22,101898,51.5454071,-0.1774342,4,crossing,
23,101899,51.5457335,-0.1782226,3,,
24,101900,51.5463658,-0.1789627,3,,
25,101906,51.5509143,-0.1838402,3,,
26,101918,51.5595124,-0.1969775,4,,
27,101920,51.5610918,-0.1971104,3,,
28,101922,51.5629312,-0.1972244,4,,
29,101954,51.5595316,-0.1784571,3,,
30,101956,51.5587254,-0.1785815,3,,
31,101959,51.5578291,-0.1785221,3,,
32,101964,51.5562782,-0.1779705,3,,
33,101965,51.5559219,-0.1770989,3,,
34,101966,51.5556328,-0.1761867,3,,
35,101968,51.5545074,-0.1719546,4,,
36,101969,51.5531712,-0.1690978,3,,
37,101975,51.5470468,-0.1589509,3,,
38,101977,51.545681,-0.1558591,3,,
39,101982,51.5228787,-0.1462595,3,,
40,101986,51.5222839,-0.144392,4,,
41,101990,51.5205731,-0.1477006,4,,
42,101991,51.5216534,-0.1481922,4,,
43,101992,51.5213948,-0.1496954,4,,
44,101993,51.5203158,-0.1492251,4,,
